iter	Passed	Remaining
887	11224	1415
888	11233	1402
889	11243	1389
890	11252	1376
891	11273	1364
892	11292	1353
893	11301	1340
894	11311	1327
895	11321	1314
896	11335	1301
897	11348	1289
898	11358	1276
899	11369	1263
900	11379	1250
901	11395	1238
902	11429	1227
903	11446	1215
904	11519	1209
905	11540	1197
906	11561	1185
907	11570	1172
908	11580	1159
909	11590	1146
910	11599	1133
911	11610	1120
912	11620	1107
913	11629	1094
914	11639	1081
915	11654	1068
916	11666	1055
917	11675	1042
918	11685	1029
919	11696	1017
920	11706	1004
921	11717	991
922	11745	979
923	11781	969
924	11815	957
925	11835	945
926	11856	933
927	11868	920
928	11878	907
929	11890	895
930	11918	883
931	11932	870
932	11941	857
933	11951	844
934	11961	831
935	11980	819
936	11989	806
937	11998	793
938	12008	780
939	12018	767
940	12029	754
941	12044	741
942	12054	728
943	12063	715
944	12088	703
945	12133	692
946	12155	680
947	12181	668
948	12195	655
949	12211	642
950	12225	629
951	12234	616
952	12244	603
953	12253	590
954	12264	577
955	12273	564
956	12283	551
957	12293	538
958	12302	525
959	12313	513
960	12325	500
961	12339	487
962	12348	474
963	12358	461
964	12370	448
965	12391	436
966	12406	423
967	12415	410
968	12426	397
969	12436	384
970	12447	371
971	12483	359
972	12509	347
973	12523	334
974	12540	321
975	12556	308
976	12567	295
977	12577	282
978	12588	270
979	12604	257
980	12614	244
981	12624	231
982	12633	218
983	12648	205
984	12658	192
985	12668	179
986	12677	166
987	12696	154
988	12711	141
989	12725	128
990	12736	115
991	12746	102
992	12756	89
993	12765	77
994	12788	64
995	12797	51
996	12808	38
997	12817	25
998	12827	12
999	12837	0
